Application ID,City,Zip,Application Submission Date,Facility Type,Sector,PV Capacity (kW),Geothermal Capacity (tons),Wind Capacity (kW),Solar Water Capacity (sq ft),Total System Costs ($),Total Rebate,Mounting Location,PPA/Lease,Payment Status
R00437,Bear,19701,07/25/2008,PV,Residential,0.3,,,,3194.67,1322.38,,,Paid
R00400,Middletown,19709,04/07/2008,PV,Residential,0.426,,,,3000.00,903.00,,,Paid
R00837,Ocean View,19970,06/18/2009,PV,Residential,0.57,,,,4703.00,1175.75,,,Paid
8244,Newark,19713,09/08/2016,PV,Residential,0.78,,,,50908.00,429.00,rooftop,lease,Paid
8174,Wilmington,19805,09/21/2016,PV,Residential,0.78,,,,20826.00,429.00,rooftop,lease,Paid
R02264,Magnolia,19962,06/30/2014,PV,Residential,0.81,,,,3800.00,1012.50,,,Paid
R01477,Rehoboth Beach,19971,01/06/2012,PV,Residential,0.84,,,,3847.20,1050.00,,,Paid
9358,Rehoboth Beach,19971,04/17/2018,PV,Residential,0.84,,,,38010.00,420.00,rooftop,owned,Paid
R01176,Middletown,19709,11/30/2010,PV,Residential,0.92,,,,5060.00,1265.00,,,Paid
R00218,Rehoboth Beach,19971,06/22/2007,PV,Residential,1.05,,,,11200.00,5600.00,,,Paid
R01333,New Castle,19720,07/25/2011,PV,Residential,1.05,,,,5033.00,1258.00,,,Paid
R00003,Greenville,19807,09/06/2002,PV,Residential,1.2,,,,10806.00,3782.23,,,Paid
R00420,Middletown,19709,07/22/2008,PV,Residential,1.2,,,,9920.00,4950.00,,,Paid
R01036,Hockessin,19707,05/28/2010,PV,Residential,1.26,,,,6930.00,1732.50,,,Paid
8227,Claymont,19703,09/27/2016,PV,Residential,1.3,,,,30082.00,715.00,rooftop,lease,Paid
8458,Wilmington,19805,10/11/2016,PV,Residential,1.3,,,,10504.00,715.00,rooftop,ppa,Paid
7530,Newark,19702,04/11/2016,PV,Residential,1.325,,,,30475.00,1000.00,rooftop,lease,Paid
R00717,Bear,19701,03/12/2009,PV,Residential,1.35,,,,10462.50,5231.25,,,Paid
R00718,Bear,19701,03/12/2009,PV,Residential,1.35,,,,10462.50,5231.25,,,Paid
R00719,Bear,19701,03/12/2009,PV,Residential,1.35,,,,10462.50,5231.25,,,Paid
R00720,Bear,19701,03/12/2009,PV,Residential,1.35,,,,10462.50,5231.25,,,Paid
R00721,Bear,19701,03/12/2009,PV,Residential,1.35,,,,10462.50,5231.25,,,Paid
R00722,Bear,19701,03/12/2009,PV,Residential,1.35,,,,10462.50,5231.25,,,Paid
R01024,Bear,19701,05/07/2010,PV,Residential,1.38,,,,12927.69,3231.92,,,Paid
R01128,Wilmington,19804,10/01/2010,PV,Residential,1.38,,,,8004.00,2001.00,,,Paid - ARRA
R00460,Bear,19701,07/24/2008,PV,Residential,1.4,,,,10710.00,5355.00,,,Paid
R00716,Bear,19701,03/12/2009,PV,Residential,1.4,,,,10710.00,5355.00,,,Paid
R01533,Dewey Beach,19971,05/07/2012,PV,Residential,1.41,,,,4200.00,1500.00,,,Paid
NR00027,Wilmington,19809,08/13/2007,PV,Non_Residential,1.456,,,,14531.34,7265.69,,,Paid
R00090,Ocean View,19970,03/18/2006,PV,Residential,1.5,,,,16381.08,8190.54,,,Paid
5746,middletown,19709,02/03/2015,PV,Residential,1.5,,,,5980.00,1275.00,rooftop,owned,Paid
R00878,Smyrna,19977,08/20/2009,PV,Residential,1.52,,,,10030.56,2064.43,,,Paid
5292,Middletown,19709,10/22/2014,PV,Residential,1.53,,,,7650.00,1300.50,rooftop,ppa,Paid
6852,Leipsic,19901,09/05/2016,PV,Residential,1.56,,,,20800.00,858.00,rooftop,lease,Paid
8329,Newark,19711,09/21/2016,PV,Residential,1.56,,,,24297.00,858.00,rooftop,lease,Paid
8441,Wilmington,19804,10/18/2016,PV,Residential,1.56,,,,12605.00,858.00,rooftop,ppa,Paid
8678,Newark,19711,11/28/2016,PV,Residential,1.56,,,,39915.00,858.00,rooftop,lease,Paid
8740,New Castle,19720,12/20/2016,PV,Residential,1.56,,,,35714.00,858.00,rooftop,ppa,Paid
8844,Wilmington,19808,12/30/2016,PV,Residential,1.56,,,,24159.00,858.00,rooftop,ppa,Paid
8889,Millsboro,19966,07/12/2017,PV,Residential,1.56,,,,33612.00,858.00,rooftop,lease,Paid
8976,New Castle,19720,01/30/2017,PV,Residential,1.56,,,,33613.00,858.00,rooftop,lease,Paid
R00728,Bear,19701,03/12/2009,PV,Residential,1.575,,,,12127.50,6063.75,,,Paid
R00732,Bear,19701,03/12/2009,PV,Residential,1.575,,,,12127.50,6063.75,,,Paid
R00796,Wilmington,19805,05/01/2009,PV,Residential,1.575,,,,12499.00,6249.50,,,Paid - ARRA
R01340,Bear,19701,08/09/2011,PV,Residential,1.575,,,,10973.50,1968.75,,,Paid
7520,Bethany Beach,19930,09/28/2016,PV,Residential,1.59,,,,23850.00,874.50,rooftop,ppa,Paid
7208,New Castle,19720,10/05/2016,PV,Residential,1.59,,,,23850.00,874.50,rooftop,lease,Paid
7577,Wilmington,19808,12/09/2016,PV,Residential,1.59,,,,54325.00,874.50,rooftop,ppa,Paid
R00959,Wilmington,19803,12/21/2009,PV,Residential,1.6,,,,10800.00,2700.00,,,Paid
R00448,Bear,19701,07/22/2008,PV,Residential,1.62,,,,13365.00,6682.50,,,Paid
R02113,Milton,19968,05/05/2014,PV,Residential,1.65,,,,6249.00,2062.50,,,Paid
R01456,Middletown,19709,12/02/2011,PV,Residential,1.664,,,,10000.00,2080.00,,,Paid
R01545,Claymont,19703,05/15/2012,PV,Solar Lease,1.71,,,,11863.50,2137.50,,,Paid
R01731,Wilmington,19805,02/06/2013,PV,Solar Lease,1.71,,,,10221.00,2143.75,,,Paid
R00519,Newark,19713,09/26/2008,PV,Residential,1.75,,,,20965.00,9800.00,,,Paid
5203,Wilmington,19804,10/08/2014,PV,Residential,1.785,,,,8925.00,1517.25,rooftop,lease,Paid
6155,Seaford,19973,04/21/2015,PV,Residential,1.785,,,,8925.00,1517.25,rooftop,ppa,Paid
R00242,Middletown,19709,08/20/2007,PV,Residential,1.8,,,,19337.00,9668.50,,,Paid
R00260,Wilmington,19810,10/19/2007,PV,Residential,1.8,,,,17600.00,8800.00,,,Paid
R00285,New Castle,19720,12/21/2007,PV,Residential,1.8,,,,17178.00,8589.00,,,Paid
R00381,Rehoboth Beach,19971,05/12/2008,PV,Residential,1.8,,,,14850.00,7425.00,,,Paid
R00382,Rehoboth Beach,19971,05/12/2008,PV,Residential,1.8,,,,14850.00,7425.00,,,Paid
R00696,Harbeson,19951,02/25/2009,PV,Residential,1.8,,,,15300.00,7650.00,,,Paid
R00723,Bear,19701,03/12/2009,PV,Residential,1.8,,,,13770.00,6885.00,,,Paid
